"","re_A_01_1","re_B_02","re_B_04","re_C_06","re_C_07","re_C_08","re_SQ1","D_05","D_03","C_05","SQ2"
"re_A_01_1",1,0.365,0.208,0.056,0.257,0.224,0.017,-0.009,0.031,0.183,0.026
"re_B_02",0.365,1,0.316,0.103,0.269,0.195,0.039,0.077,0.143,0.158,-0.064
"re_B_04",0.208,0.316,1,0.069,0.221,0.122,0.012,0.127,0.184,0.032,-0.144
"re_C_06",0.056,0.103,0.069,1,0.111,0.083,0.015,0.041,0.062,0.11,-0.011
"re_C_07",0.257,0.269,0.221,0.111,1,0.344,-0.008,0.042,0.032,0.101,0.069
"re_C_08",0.224,0.195,0.122,0.083,0.344,1,0.145,-0.066,-0.055,0.18,0.135
"re_SQ1",0.017,0.039,0.012,0.015,-0.008,0.145,1,-0.071,-0.073,0.002,0.016
"D_05",-0.009,0.077,0.127,0.041,0.042,-0.066,-0.071,1,0.314,0.024,-0.353
"D_03",0.031,0.143,0.184,0.062,0.032,-0.055,-0.073,0.314,1,0.034,-0.469
"C_05",0.183,0.158,0.032,0.11,0.101,0.18,0.002,0.024,0.034,1,0.041
"SQ2",0.026,-0.064,-0.144,-0.011,0.069,0.135,0.016,-0.353,-0.469,0.041,1
