"","re_A_01_1","re_B_02","re_B_04","re_C_06","re_C_07","re_C_08","re_SQ1","D_05","D_03","C_05","SQ2"
"re_A_01_1",1,0.365,0.208,0.056,0.257,0.224,0.017,-0.001,0.027,0.172,0.028
"re_B_02",0.365,1,0.316,0.103,0.269,0.195,0.039,0.081,0.147,0.167,-0.077
"re_B_04",0.208,0.316,1,0.069,0.221,0.122,0.012,0.134,0.179,0.034,-0.178
"re_C_06",0.056,0.103,0.069,1,0.111,0.083,0.015,0.052,0.077,0.109,-0.012
"re_C_07",0.257,0.269,0.221,0.111,1,0.344,-0.008,0.042,0.031,0.104,0.082
"re_C_08",0.224,0.195,0.122,0.083,0.344,1,0.145,-0.069,-0.06,0.181,0.165
"re_SQ1",0.017,0.039,0.012,0.015,-0.008,0.145,1,-0.074,-0.063,-0.002,0.015
"D_05",-0.001,0.081,0.134,0.052,0.042,-0.069,-0.074,1,0.377,0.035,-0.439
"D_03",0.027,0.147,0.179,0.077,0.031,-0.06,-0.063,0.377,1,0.025,-0.569
"C_05",0.172,0.167,0.034,0.109,0.104,0.181,-0.002,0.035,0.025,1,0.053
"SQ2",0.028,-0.077,-0.178,-0.012,0.082,0.165,0.015,-0.439,-0.569,0.053,1
