"","re_A_01_1","re_B_02","re_B_04","re_C_06","re_C_07","re_C_08","re_SQ1","D_05","D_03","C_05","SQ2"
"re_A_01_1",1,0.365,0.208,0.056,0.257,0.224,0.017,-0.009,0.032,0.187,0.032
"re_B_02",0.365,1,0.316,0.103,0.269,0.195,0.039,0.081,0.148,0.161,-0.078
"re_B_04",0.208,0.316,1,0.069,0.221,0.122,0.012,0.134,0.191,0.033,-0.174
"re_C_06",0.056,0.103,0.069,1,0.111,0.083,0.015,0.043,0.064,0.112,-0.013
"re_C_07",0.257,0.269,0.221,0.111,1,0.344,-0.008,0.045,0.033,0.103,0.084
"re_C_08",0.224,0.195,0.122,0.083,0.344,1,0.145,-0.07,-0.057,0.183,0.164
"re_SQ1",0.017,0.039,0.012,0.015,-0.008,0.145,1,-0.074,-0.076,0.003,0.02
"D_05",-0.009,0.081,0.134,0.043,0.045,-0.07,-0.074,1,0.34,0.025,-0.439
"D_03",0.032,0.148,0.191,0.064,0.033,-0.057,-0.076,0.34,1,0.036,-0.57
"C_05",0.187,0.161,0.033,0.112,0.103,0.183,0.003,0.025,0.036,1,0.05
"SQ2",0.032,-0.078,-0.174,-0.013,0.084,0.164,0.02,-0.439,-0.57,0.05,1
